iata_code,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,gps_code,timezone
ABE,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393.0,,US,US-PA,Allentown,yes,KABE,KABE,America/New_York
ABI,KABI,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,1791.0,,US,US-TX,Abilene,yes,KABI,KABI,America/Chicago
ABR,KABR,medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,1302.0,,US,US-SD,Aberdeen,yes,KABR,KABR,America/Chicago
ABY,KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197.0,,US,US-GA,Albany,yes,KABY,KABY,America/New_York
ACK,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47.0,,US,US-MA,Nantucket,yes,KACK,KACK,America/New_York
ACT,KACT,medium_airport,Waco Regional Airport,31.61129951,-97.23049927,516.0,,US,US-TX,Waco,yes,KACT,KACT,America/Chicago
ACV,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221.0,,US,US-CA,Arcata/Eureka,yes,KACV,KACV,America/Los_Angeles
ACY,KACY,medium_airport,Atlantic City International Airport,39.45759964,-74.57720184,75.0,,US,US-NJ,Atlantic City,yes,KACY,KACY,America/New_York
AEX,KAEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,89.0,,US,US-LA,Alexandria,yes,KAEX,KAEX,America/Chicago
AGS,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144.0,,US,US-GA,Augusta,yes,KAGS,KAGS,America/New_York
ALB,KALB,medium_airport,Albany International Airport,42.74829865,-73.80169678,285.0,,US,US-NY,Albany,yes,KALB,KALB,America/New_York
ALO,KALO,medium_airport,Waterloo Regional Airport,42.55709839,-92.40029907,873.0,,US,US-IA,Waterloo,yes,KALO,KALO,America/Chicago
ALW,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194.0,,US,US-WA,Walla Walla,yes,KALW,KALW,America/Los_Angeles
AMA,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607.0,,US,US-TX,Amarillo,yes,KAMA,KAMA,America/Chicago
APN,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690.0,,US,US-MI,Alpena,yes,KAPN,KAPN,America/Detroit
ART,KART,medium_airport,Watertown International Airport,43.991901,-76.021698,325.0,,US,US-NY,Watertown,yes,KART,KART,America/New_York
